"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,"Medium"
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"Medium"
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,"Medium"
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"Medium"
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,"Medium"
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,"Medium"
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,"Medium"
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,"Medium"
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"Medium"
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,"Medium"
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,"Medium"
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,"Medium"
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,"Medium"
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,"Medium"
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,"Medium"
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,"Medium"
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,"Medium"
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"Medium"
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,"Medium"
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,"Medium"
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"Medium"
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,"Medium"
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,"Medium"
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,"Medium"
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,"Medium"
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,"Medium"
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,"Medium"
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"Medium"
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"Medium"
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,"Medium"
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,"Medium"
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,"Medium"
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"Medium"
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,"Medium"
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,"Medium"
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,"Medium"
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,"Medium"
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"Medium"
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,"Medium"
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,"Medium"
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,"Medium"
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,"Medium"
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,"Medium"
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,"Medium"
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,"Medium"
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,"Medium"
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,"Medium"
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,"Medium"
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"Medium"
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,"Medium"
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,"Medium"
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,"Medium"
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"Medium"
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,"Medium"
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,"Medium"
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,"Medium"
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"Medium"
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,"Medium"
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,"Medium"
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,"Medium"
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,"Medium"
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"Medium"
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,"Medium"
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,"Medium"
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"Medium"
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"Medium"
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,"Medium"
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"Medium"
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,"Medium"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Medium"
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,"Medium"
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"Medium"
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,"Medium"
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,"Medium"
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,"Medium"
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,"Medium"
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,"Medium"
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,"Medium"
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,"Medium"
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,"Medium"
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"Medium"
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,"Medium"
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,"Medium"
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"Medium"
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,"Medium"
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,"Medium"
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,"Medium"
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,"Medium"
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,"Medium"
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,"Medium"
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,"Medium"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Medium"
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,"Medium"
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,"Medium"
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,"High"
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"High"
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,"High"
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,"High"
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"High"
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,"High"
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,"High"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"High"
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,"High"
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"High"
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,"High"
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,"High"
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,"High"
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,"High"
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"High"
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,"High"
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,"High"
9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,"High"
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"High"
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,"High"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"High"
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"High"
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,"High"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"High"
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,"High"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"High"
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,"High"
8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,"High"
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"High"
9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,"High"
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,"High"
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"High"
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,"High"
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,"High"
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,"High"
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,"High"
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,"High"
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,"High"
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,"High"
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"High"
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,"High"
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,"High"
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"High"
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,"High"
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,"High"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"High"
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,"High"
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,"High"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"High"
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"High"
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,"High"
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,"High"
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,"High"
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,"High"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"High"
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,"High"
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,"High"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,"High"
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,"High"
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,"High"
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,"High"
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,"High"
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"High"
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,"High"
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,"High"
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,"High"
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"High"
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,"High"
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,"High"
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,"High"
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,"High"
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,"High"
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"High"
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,"High"
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,"High"
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"High"
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,"High"
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,"High"
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,"High"
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,"High"
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"High"
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,"High"
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"High"
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,"High"
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,"High"
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,"High"
8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,"High"
6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,"High"
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"High"
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,"High"
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,"High"
8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,"High"
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,"High"
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,"High"
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"High"
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"High"
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,"High"
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"High"
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"High"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"High"
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,"High"
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,"High"
8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,"High"
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,"High"
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,"High"
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"High"
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"High"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"High"
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,"High"
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,"High"
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,"High"
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,"High"
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,"High"
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,"High"
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,"High"
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,"High"
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"High"
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"High"
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,"High"
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,"High"
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,"High"
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,"High"
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,"High"
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,"High"
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"High"
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,"High"
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,"High"
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,"High"
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,"High"
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,"High"
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,"High"
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,"High"
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,"High"
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,"High"
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,"High"
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,"High"
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,"High"
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,"High"
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,"High"
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,"High"
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,"High"
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"High"
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"High"
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,"High"
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,"High"
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,"High"
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,"High"
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,"High"
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,"High"
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,"High"
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,"High"
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"High"
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,"High"
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,"High"
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"High"
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"High"
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,"High"
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,"High"
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"High"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"High"
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"High"
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,"High"
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,"High"
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,"High"
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"High"
7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,"High"
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,"High"
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,"High"
8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,"High"
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,"High"
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"High"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"High"
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"High"
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"High"
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,"High"
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"High"
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,"High"
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,"High"
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"High"
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,"High"
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,"High"
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,"High"
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"High"
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"High"
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,"High"
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,"High"
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,"High"
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,"High"
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"High"
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,"High"
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,"High"
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,"High"
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"High"
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"High"
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,"High"
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,"High"
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,"High"
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,"High"
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"High"
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,"High"
