title,year,length,budget,rating,votes,Action,Animation,Comedy,Drama,Documentary,Romance,Short,Genre
"Damsel in Distress, A",1937,98,1035000,6.9,181,0,0,1,0,0,1,0,Comedy
Dance Lexie Dance,1996,14,75000,4,15,0,0,0,0,0,0,1,Short
Dances with Wolves,1990,236,19000000,7.8,28561,0,0,0,1,0,0,0,Drama
Dancing Lady,1933,92,923055,6.4,170,0,0,1,0,0,1,0,Comedy
Dancing in September,2000,102,850000,6.4,166,0,0,0,1,0,0,0,Drama
Dangerous Liaisons,1988,119,14000000,7.6,12559,0,0,0,1,0,1,0,Drama
"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,3274,0,0,0,1,0,0,0,Drama
Dangerous Money,1946,66,75000,6.2,88,0,0,0,1,0,0,0,Drama
"Dangerous Stranger, The",1950,10,1000,3.6,14,0,0,0,1,0,0,1,Drama
Dansk sexualitet,1969,75,15000,2.4,6,0,0,0,0,1,0,0,Documentary
Dante's Inferno,1935,88,748900,6.6,80,0,0,0,1,0,0,0,Drama
Dante's Peak,1997,104,104000000,5.6,9203,1,0,0,1,0,0,0,Action
Darcy's Off-White Wedding,2005,10,7000,9.4,5,0,0,1,0,0,0,1,Comedy
Daredevil,2003,133,75000000,5.7,20642,1,0,0,0,0,0,0,Action
Daredevils of the Red Circle,1939,211,126118,7.8,48,1,0,0,0,0,0,0,Action
"Dark Agent and the Passing of the Torch Chapter 7, The",2004,13,10000,9.2,11,0,0,0,0,0,0,1,Short
Dark Alibi,1946,61,75000,7,83,0,0,0,1,0,0,0,Drama
Dark Blue,2002,118,15000000,6.6,3882,1,0,0,1,0,0,0,Action
Dark City,1998,100,27000000,7.6,23508,0,0,0,0,0,0,0,0
Dark Command,1940,94,1000000,6.4,301,0,0,0,0,0,1,0,Romance
"Dark Crystal, The",1982,93,15000000,6.9,6531,0,0,0,0,0,0,0,0
"Dark Half, The",1993,122,15000000,5.5,1757,0,0,0,0,0,0,0,0
Dark Heaven,2002,87,80000,2.4,47,0,0,0,0,0,0,0,0
Dark Manhattan,1937,70,24900,5.1,11,0,0,0,1,0,0,0,Drama
Dark Star,1974,83,60000,6.6,3527,0,0,1,0,0,0,0,Comedy
Darklands,1996,90,750000,4,103,0,0,0,1,0,0,0,Drama
Darkman,1990,96,16000000,6.1,6130,1,0,0,0,0,0,0,Action
Darkness Falls,2003,86,11000000,4.5,4928,0,0,0,0,0,0,0,0
Darkness Minus Twelve,2004,12,4400,8.9,8,1,0,0,0,0,0,1,Action
Darling Lili,1970,107,25000000,5.9,287,0,0,0,0,0,0,0,0
"Date, The",2004,12,3000,9.2,11,0,0,0,0,0,0,1,Short
Daughter of the Sun,1962,60,11000,1.2,9,0,0,1,0,0,0,0,Comedy
Daughters of Satan,1972,90,275000,3.2,77,0,0,0,0,0,0,0,0
David & Dee,2004,18,50000,8.6,17,0,1,1,0,0,0,1,Animation
David Nelson Live,2000,42,0,9.7,6,0,0,1,0,0,0,1,Comedy
David Searching,1997,101,22500,7.3,34,0,0,0,1,0,0,0,Drama
Dawn of the Dead,1978,139,1500000,7.7,12621,1,0,0,1,0,0,0,Action
Dawn of the Dead,2004,109,28000000,7.4,16283,1,0,0,1,0,0,0,Action
Dawn of the Friend,2004,22,10000,6.2,11,0,0,1,0,0,0,1,Comedy
"Day After Tomorrow, The",2004,124,125000000,6.3,23749,1,0,0,1,0,0,0,Action
"Day Without a Mexican, A",2004,100,1500000,5,561,0,0,1,1,0,0,0,Comedy
Day of Defense,2003,102,500000,3,8,0,0,0,1,0,0,0,Drama
Day of Independence,2003,27,200000,2.8,11,0,0,0,0,0,0,1,Short
Day of the Animals,1977,97,1200000,4.2,158,0,0,0,0,0,0,0,0
Day of the Dead,1985,97,3500000,6.5,5053,0,0,0,1,0,0,0,Drama
"Day of the Dolphin, The",1973,104,8500000,5.6,397,0,0,0,1,0,0,0,Drama
Day of the Fight,1951,16,3900,6.1,272,0,0,0,0,1,0,1,Documentary
"Day the Earth Stood Still, The",1951,85,960000,8.1,10148,0,0,0,1,0,0,0,Drama
Day the World Ended,1956,79,96000,4.7,241,0,0,0,0,0,0,0,0
Dayereh,2000,90,10000,7.1,755,0,0,0,1,0,0,0,Drama
Daylight,1996,110,80000000,5.4,6979,1,0,0,1,0,0,0,Action
Days of Thunder,1990,107,60000000,5.4,9660,1,0,0,1,0,1,0,Action
Dead & Buried,1981,94,3000000,6.1,614,0,0,0,0,0,0,0,0
Dead Babies,2000,100,1000000,4.3,172,0,0,1,0,0,0,0,Comedy
Dead End,1937,93,900000,7.5,750,0,0,0,1,0,0,0,Drama
Dead End Road,2004,94,100000,5.8,5,1,0,0,0,0,0,0,Action
"Dead Hate the Living!, The",2000,90,150000,4.3,496,0,0,1,0,0,0,0,Comedy
Dead Heat,1988,86,5000000,4.8,470,1,0,1,0,0,0,0,Action
Dead Heat on a Merry-Go-Round,1966,104,2000000,6,167,0,0,1,1,0,0,0,Comedy
Dead Man,1995,120,9000000,7.6,10097,0,0,0,0,0,0,0,0
Dead Man Walking,1995,122,11000000,7.6,16177,0,0,0,1,0,0,0,Drama
Dead Man on Campus,1998,96,14000000,5.4,2829,0,0,1,0,0,0,0,Comedy
Dead Man's Curve,1998,90,1000000,5.7,1241,0,0,1,1,0,0,0,Comedy
"Dead Next Door, The",1988,84,75000,4.8,275,0,0,0,0,0,0,0,0
Dead Poets Society,1989,128,16400000,7.7,43294,0,0,0,1,0,0,0,Drama
Dead Presidents,1995,119,15000000,6.3,2641,1,0,0,1,0,0,0,Action
Dead Ringer,1964,115,1200000,6.8,430,0,0,0,1,0,0,0,Drama
Dead Soul: A Fairy Tale,2001,30,8000,5,6,0,0,0,1,0,0,1,Drama
"Dead Zone, The",1983,103,10000000,7.2,6338,0,0,0,1,0,0,0,Drama
Dead of Night,1974,88,235000,6,206,0,0,0,0,0,0,0,0
Deadfall,2000,86,13000,5.4,26,0,0,0,0,0,0,0,0
Deadly Blessing,1981,100,2500000,4.5,308,0,0,0,0,0,0,0,0
Deadly Harvest,1977,87,250000,5,35,0,0,0,1,0,0,0,Drama
Deadly Stingers,2003,73,150000,5.5,15,1,0,1,0,0,0,0,Action
Death 4 Told,2004,96,85000,1.7,45,0,0,0,0,0,0,0,0
Death Becomes Her,1992,99,55000000,5.6,9887,0,0,1,0,0,0,0,Comedy
Death Bed: The Bed That Eats,1977,80,30000,6.1,55,0,0,1,0,0,0,0,Comedy
Death Race 2000,1975,79,300000,5.8,2909,1,0,0,0,0,0,0,Action
Death and the Compass,1992,96,3500000,6,115,0,0,0,1,0,0,0,Drama
"Death of Daniel Whately, The",2004,111,5000,6.6,5,0,0,0,1,0,0,0,Drama
Death to Smoochy,2002,109,55000000,6.3,8003,0,0,1,0,0,0,0,Comedy
"Death, Can I Buy You a Drink?",2004,22,50000,8.9,15,0,0,0,1,0,0,1,Drama
Deathrow Gameshow,1987,83,200000,3.8,57,0,0,1,0,0,0,0,Comedy
"Debtors, The",1999,90,14000000,6.9,38,0,0,1,0,0,0,0,Comedy
Decay,1998,80,15000,6.5,8,1,0,0,1,0,0,0,Action
Decision,1995,90,5000,8,6,0,0,0,0,0,0,0,0
"Decline of Western Civilization Part II: The Metal Years, The",1988,93,500000,6.6,297,0,0,0,0,1,0,0,Documentary
"Decline of Western Civilization, The",1981,100,100000,7.3,296,0,0,0,0,1,0,0,Documentary
Deconstructing Harry,1997,96,20000000,7.1,7342,0,0,1,0,0,0,0,Comedy
Decoys,2004,95,5000000,4.2,580,0,0,1,0,0,0,0,Comedy
Deep Blue,2003,91,5000000,7.2,363,0,0,0,0,1,0,0,Documentary
Deep Blue Sea,1999,105,78000000,5.5,17666,1,0,0,0,0,0,0,Action
"Deep End of the Ocean, The",1999,106,40000000,5.9,2890,0,0,0,1,0,0,0,Drama
"Deep End, The",2001,101,3000000,6.8,3524,0,0,0,1,0,0,0,Drama
Deep Impact,1998,120,75000000,5.9,22684,0,0,0,1,0,0,0,Drama
Deep Rising,1998,97,45000000,5.4,4626,1,0,0,0,0,0,0,Action
Deep Throat,1972,67,22000,5.1,1097,0,0,0,0,0,0,0,0
"Deep, The",1977,123,9000000,5.8,1565,0,0,0,0,0,0,0,0
"Deer Hunter, The",1978,183,15000000,8.1,28210,0,0,0,1,0,0,0,Drama
"Defender, The",2004,90,6000000,6.3,58,1,0,0,0,0,0,0,Action
"Defilers, The",1965,69,11000,4.8,49,0,0,0,1,0,0,0,Drama
Defining Reason,2003,5,2000,8.3,6,0,0,0,0,0,0,1,Short
Delayed,2002,103,20000,2.6,18,0,0,1,1,0,0,0,Comedy
"Delicate Delinquent, The",1957,101,460000,5.9,161,0,0,1,0,0,0,0,Comedy
"Delinquents, The",1957,72,65000,4.8,33,0,0,0,1,0,0,0,Drama
Deliverance,1972,109,2000000,7.8,14417,0,0,0,1,0,0,0,Drama
Delivered,1998,93,1000000,5.1,73,0,0,1,1,0,0,0,Comedy
Dellamorte Dellamore,1994,105,4000000,7.3,2313,0,0,1,0,0,1,0,Comedy
Delusion,1991,88,1000000,6,242,0,0,0,0,0,0,0,0
Dementia 13,1963,75,30000,5.4,641,0,0,0,0,0,0,0,0
Dementia: An Experiment in Terror,2004,85,300000,8.9,10,0,0,0,0,0,0,0,0
Demetrius and the Gladiators,1954,101,4500000,6.3,374,0,0,0,1,0,0,0,Drama
"Demo Crew, The",2001,108,100000,2.5,23,1,0,0,1,0,0,0,Action
"Demolitionist, The",1995,100,1000000,4.1,238,1,0,0,0,0,0,0,Action
Demon Knight,1995,92,12000000,6,2215,0,0,0,0,0,0,0,0
Demoni,1985,88,1800000,5.7,1188,0,0,0,0,0,0,0,0
Demonium,2001,85,2200000,3.7,55,0,0,0,0,0,0,0,0
Denial,1998,93,5000000,5.3,285,0,0,1,1,0,0,0,Comedy
"Dentist II, The",1998,100,1800000,4.1,401,0,0,0,0,0,0,0,0
Derailed,2002,89,18000000,3.4,1075,1,0,0,0,0,0,0,Action
Deranged,1974,78,200000,6.2,306,0,0,0,0,0,0,0,0
Derniers feux,2004,8,50000,9.7,6,0,0,0,1,0,0,1,Drama
Dersu Uzala,1975,141,4000000,8.1,2565,0,0,0,1,0,0,0,Drama
Desecration,1999,88,150000,4.3,97,0,0,0,0,0,0,0,0
Desert Hearts,1985,96,350000,6.4,608,0,0,0,1,0,1,0,Drama
"Deserter, The",2003,75,35000,8,7,0,0,1,1,0,0,0,Comedy
Desire,1936,95,1200000,7.2,174,0,0,1,0,0,1,0,Comedy
Desire,1993,95,1000000,4.5,34,0,0,0,0,0,0,0,0
Desperado,1995,106,7000000,6.8,17929,1,0,0,0,0,0,0,Action
Desperate Characters,1971,87,400000,5.6,42,0,0,0,1,0,0,0,Drama
"Desperate Hours, The",1955,112,2388000,7.4,1082,0,0,0,1,0,0,0,Drama
Desperate Living,1977,90,65000,7.1,598,0,0,1,0,0,0,0,Comedy
Desperately Seeking Susan,1985,104,4500000,5.6,4853,0,0,1,1,0,1,0,Comedy
Destino,2003,7,1500000,7.8,156,0,1,0,0,0,0,1,Animation
"Detail, The",1997,87,200000,3.3,12,1,0,0,0,0,0,0,Action
Detective Fiction,2003,102,200000,4.9,41,0,0,0,1,0,0,0,Drama
Detention,2003,98,10000000,4.1,223,1,0,0,1,0,0,0,Action
Deterrence,1999,101,800000,6.6,796,0,0,0,1,0,0,0,Drama
Detour,1945,67,30000,7.3,1114,0,0,0,1,0,0,0,Drama
Detroit Rock City,1999,95,15000000,6,4607,0,0,1,0,0,0,0,Comedy
Deuce Bigalow: Male Gigolo,1999,88,18000000,5.6,9897,0,0,1,0,0,0,0,Comedy
Deuces Wild,2002,100,10000000,5.3,1511,1,0,0,1,0,0,0,Action
Devil Dogs of the Air,1935,85,350000,5.7,43,1,0,1,1,0,1,0,Action
"Devil Is a Woman, The",1935,79,800000,7.3,197,0,0,0,1,0,1,0,Drama
"Devil's Advocate, The",1997,144,57000000,7,26904,0,0,0,1,0,0,0,Drama
"Devil's Own, The",1997,111,80000000,5.7,8485,1,0,0,1,0,0,0,Action
Devil's Pond,2003,92,5000000,5.6,370,0,0,0,1,0,0,0,Drama
Diabolik,1968,99,400000,4.7,637,1,0,0,0,0,0,0,Action
Dial M for Murder,1954,105,1400000,7.8,7989,0,0,0,0,0,0,0,0
Diamonds Are Forever,1971,120,7200000,6.6,8738,1,0,0,0,0,0,0,Action
Diary of a Mad Black Woman,2005,116,5500000,3.9,837,0,0,1,1,0,0,0,Comedy
Dick,1999,94,13000000,6.3,5004,0,0,1,0,0,0,0,Comedy
Dick Tracy,1990,105,47000000,5.7,9939,1,0,1,0,0,0,0,Action
Dickie Roberts: Former Child Star,2003,98,17000000,5.5,2076,0,0,1,0,0,0,0,Comedy
Die Another Day,2002,133,142000000,6.4,22136,1,0,0,0,0,0,0,Action
Die Hard,1988,131,28000000,8,58870,1,0,0,0,0,0,0,Action
Die Hard 2,1990,124,70000000,6.7,22987,1,0,0,0,0,0,0,Action
Die Hard: With a Vengeance,1995,131,90000000,7,25258,1,0,0,0,0,0,0,Action
Die xue jie tou,1990,126,3500000,7.6,1805,1,0,0,1,0,0,0,Action
Different,2004,11,5000,7.5,13,0,0,1,0,0,0,1,Comedy
"Different Loyalty, A",2004,96,13000000,5,135,0,0,0,1,0,1,0,Drama
Digimon: The Movie,2000,82,5000000,3.4,455,1,1,0,0,0,0,0,Action
Dilemma,1997,83,2500000,3.9,49,1,0,0,0,0,0,0,Action
Dill Scallion,1999,91,500000,5.1,136,0,0,1,0,0,0,0,Comedy
Dillinger,1945,70,193000,6.3,99,0,0,0,1,0,0,0,Drama
Dimensia Minds Trilogy: The Reds,2004,8,1200,9.9,15,0,0,0,0,0,0,1,Short
Diner,1982,110,5000000,7.2,3250,0,0,1,1,0,0,0,Comedy
Ding-a-ling-Less,2001,81,1000000,8.1,22,0,0,1,0,0,0,0,Comedy
Dinner at Eight,1933,113,435000,7.6,1031,0,0,1,1,0,1,0,Comedy
Dinosaur,2000,82,127500000,6.3,5839,0,1,0,0,0,0,0,Animation
Dinosaurus!,1960,85,450000,4,119,0,0,0,0,0,0,0,0
"Diplomat, The",2002,29,77000,9,11,0,0,0,1,0,0,1,Drama
Diplomatic Siege,1999,96,45000000,3.5,340,1,0,0,0,0,0,0,Action
Direct Order,2003,55,500000,5.8,6,0,0,0,0,1,0,0,Documentary
Dirigible,1931,100,650000,5.9,48,0,0,0,0,0,0,0,0
Dirty Dancing,1987,100,6000000,5.9,14407,0,0,0,1,0,1,0,Drama
Dirty Diamonds,2002,10,0,9.1,12,0,0,0,0,0,0,1,Short
Dirty Pretty Things,2002,97,10000000,7.6,6274,0,0,0,1,0,0,0,Drama
Dirty Work,1998,82,13000000,5.9,4252,0,0,1,0,0,0,0,Comedy
"Disappearance of Andy Waxman, The",2004,25,30000,8.8,5,0,0,0,0,0,0,1,Short
Disc,2003,105,2000,7.5,10,0,0,1,0,0,0,0,Comedy
"Disciple, The",1915,50,8000,7.6,7,0,0,0,0,0,0,0,0
Disturbing Behavior,1998,84,15000000,5.1,4620,0,0,0,0,0,0,0,0
Divine Reality,2001,100,3000,7.1,8,0,0,0,1,0,0,0,Drama
Divine Secrets of the Ya-Ya Sisterhood,2002,116,27000000,5.5,4288,0,0,1,1,0,0,0,Comedy
Divorce: The Musical,2002,86,1500000,3.4,8,0,0,1,0,0,0,0,Comedy
"Divorcee, The",1930,82,340691,6.7,184,0,0,0,1,0,1,0,Drama
Do the Right Thing,1989,120,6500000,7.7,9324,0,0,1,1,0,0,0,Comedy
Doctor Dolittle,1967,145,18000000,5.8,1069,0,0,0,0,0,0,0,0
Doctor Dolittle,1998,85,71500000,5.4,8287,0,0,1,0,0,0,0,Comedy
Doctor Sleep,2002,108,10000000,6.2,609,0,0,0,0,0,0,0,0
Doctor Zhivago,1965,200,11000000,7.9,10283,0,0,0,1,0,1,0,Drama
Dodgeball: A True Underdog Story,2004,92,20000000,6.6,14584,0,0,1,0,0,0,0,Comedy
"Dog of Flanders, A",1999,100,7000000,6,179,0,0,0,1,0,0,0,Drama
Dogma,1999,130,10000000,7.3,43391,0,0,1,0,0,0,0,Comedy
Doki-Doki,2003,34,5000,7.6,38,0,0,0,1,0,1,1,Drama
Dom durakov,2002,104,2500000,6.8,382,0,0,0,1,0,0,0,Drama
Domestic Disturbance,2001,91,53000000,5.4,4445,0,0,0,1,0,0,0,Drama
Dominion,1995,95,1300000,5,85,0,0,0,1,0,0,0,Drama
Don Giovanni,1979,184,7000000,7.2,130,0,0,0,0,0,0,0,0
Don Juan DeMarco,1995,97,25000000,6.5,6857,0,0,1,1,0,1,0,Comedy
Don't Call Me Frankie,1993,70,40000,9.1,7,0,0,0,0,0,0,0,0
Don't Look Back!,2003,89,2300000,1.3,10,0,0,0,0,0,0,0,0
Don't Say a Word,2001,113,50000000,6.2,10098,0,0,0,1,0,0,0,Drama
Donde acaban los caminos,2004,82,500000,8,5,0,0,0,1,0,0,0,Drama
Dong er shi er tiao,1997,14,2000,3.7,10,0,0,0,1,0,0,1,Drama
Donnie Brasco,1997,127,35000000,7.6,20029,0,0,0,1,0,0,0,Drama
Donnie Darko,2001,133,4500000,8.3,51961,0,0,0,1,0,0,0,Drama
Donovan's Reef,1963,109,2686585,6.5,1062,1,0,1,0,0,1,0,Action
Doomed to Failure,2004,7,1000,7.8,9,0,0,0,0,1,0,1,Documentary
Door-to-Door Maniac,1961,80,100000,4.3,21,0,0,0,1,0,0,0,Drama
"Doors, The",1991,140,38000000,6.7,10363,0,0,0,1,0,0,0,Drama
Doppelganger,1993,104,3000000,4.1,481,0,0,0,0,0,0,0,0
"Dorm That Dripped Blood, The",1981,84,90000,2.5,101,0,0,0,0,0,0,0,0
Dorothy Vernon of Haddon Hall,1924,135,750000,7.2,7,0,0,0,1,0,1,0,Drama
Dos Blokes,2005,4,0,4.3,14,0,0,0,0,0,0,1,Short
Dot.Kill,2004,87,6000000,5,36,0,0,0,0,0,0,0,0
Double Impact,1991,109,16000000,4.5,2749,1,0,0,0,0,0,0,Action
Double Indemnity,1944,110,927262,8.5,11592,0,0,0,1,0,0,0,Drama
Double Jeopardy,1999,105,40000000,5.9,13587,0,0,0,1,0,0,0,Drama
Double Take,2001,91,24000000,4.8,1503,1,0,1,0,0,0,0,Action
Double Tap,1997,87,8000000,5.3,184,1,0,0,0,0,0,0,Action
Double Whammy,2001,100,4000000,5.6,886,0,0,1,1,0,0,0,Comedy
Doug's 1st Movie,1999,77,5000000,4.5,290,0,1,1,0,0,0,0,Animation
Down,2001,110,15000000,4.5,637,1,0,0,0,0,0,0,Action
Down Time,2001,90,20000,3.5,55,0,0,0,1,0,0,0,Drama
Down and Out with the Dolls,2001,88,1200000,6,37,0,0,1,0,0,0,0,Comedy
Down by Law,1986,107,1100000,7.6,4449,0,0,1,1,0,0,0,Comedy
Down to Earth,2001,87,30000000,5.1,3720,0,0,1,0,0,1,0,Comedy
Down to You,2000,91,9000000,4.7,3232,0,0,1,1,0,1,0,Comedy
Downtime,1985,62,16000,5.6,8,0,0,0,0,0,0,0,0
Dr T and the Women,2000,122,12000000,4.8,4776,0,0,1,1,0,1,0,Comedy
Dr. Dolittle 2,2001,87,72000000,5.1,4920,0,0,1,0,0,0,0,Comedy
Dr. Jekyll and Mr. Hyde,1931,96,1140000,7.6,1018,0,0,0,1,0,0,0,Drama
Dr. Jekyll and Ms. Hyde,1995,90,8000000,4.2,573,0,0,1,0,0,0,0,Comedy
Dr. Monica,1934,53,167000,5.4,26,0,0,0,1,0,0,0,Drama
Dr. No,1962,110,1100000,7.2,11864,1,0,0,0,0,0,0,Action
Dr. Phibes Rises Again,1972,89,75000,6.3,663,0,0,0,0,0,1,0,Romance
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,1800000,8.7,63471,0,0,1,0,0,0,0,Comedy
Dracula,1992,128,40000000,7.1,19972,0,0,0,1,0,1,0,Drama
Dracula 2000,2000,99,28000000,4.9,5364,0,0,0,0,0,0,0,0
Drag,1993,40,25000,7.8,5,0,0,0,0,0,0,1,Short
Drag Queen Heist,2004,20,5000,8.6,7,0,0,0,0,0,0,1,Short
Dragnet,1954,88,500000,6.3,115,0,0,0,1,0,0,0,Drama
Dragon: The Bruce Lee Story,1993,119,14000000,6.7,3244,1,0,0,1,0,0,0,Action
Dragonfly,2002,104,60000000,5.8,5431,0,0,0,1,0,0,0,Drama
Dragonslayer,1981,109,18000000,6.4,1965,1,0,0,0,0,0,0,Action
Dragonwyck,1946,103,1900000,6.7,222,0,0,0,1,0,1,0,Drama
Dragstrip Girl,1957,69,100000,4.7,14,1,0,0,1,0,0,0,Action
Draw the Pirate,2004,7,50000,8.5,5,0,0,1,0,0,0,1,Comedy
Dream on Silly Dreamer,2005,40,65000,7.7,13,0,0,0,0,1,0,1,Documentary
Dream with the Fishes,1997,97,1000000,6.5,647,0,0,1,1,0,0,0,Comedy
"Dream-Quest of Unknown Kadath, The",2003,100,5000,7.6,30,0,1,0,0,0,0,0,Animation
Dreamaniac,1986,82,60000,4.3,36,0,0,0,0,0,0,0,0
Dreamcatcher,2003,134,68000000,5.2,10403,0,0,0,0,0,0,0,0
Dreamer: The Movie,2004,93,23500,9,7,0,0,0,1,0,0,0,Drama
"Dress, The",1984,30,80000,8.4,9,0,0,0,0,0,0,1,Short
Dressed to Kill,1980,104,6500000,6.9,3481,0,0,0,0,0,0,0,0
Drifting,2004,21,3000,9.9,41,0,0,0,1,0,0,1,Drama
Driftwood,2003,20,5000,4.1,13,0,0,0,0,0,0,1,Short
"Driller Killer, The",1979,96,20000,4.4,593,0,0,0,1,0,0,0,Drama
Drive,1997,117,3500000,6.4,1086,1,0,1,0,0,0,0,Action
Drive Me Crazy,1999,91,8000000,5.1,2934,0,0,1,1,0,1,0,Comedy
Drive-in Movie Memories,2001,57,225000,8.3,6,0,0,0,0,1,0,0,Documentary
Driven,2001,116,72000000,4.4,7129,1,0,0,1,0,0,0,Action
Driving Miss Daisy,1989,99,7500000,7.4,8656,0,0,1,1,0,0,0,Comedy
Drop Back Ten,2000,93,600000,4.8,30,0,0,1,1,0,0,0,Comedy
Drop Squad,1994,86,2000000,3.9,150,0,0,0,1,0,0,0,Drama
Drop Zone,1994,101,45000000,5.5,3104,1,0,0,0,0,0,0,Action
Drowning,2001,7,0,5,11,0,0,0,0,0,0,1,Short
Drowning Mona,2000,95,16000000,5.4,3454,0,0,1,0,0,0,0,Comedy
Drugstore Cowboy,1989,100,2500000,7.4,4999,0,0,0,1,0,0,0,Drama
Drum,2004,94,3600,4,32,0,0,0,0,0,0,0,0
Drumline,2002,118,20000000,5.3,7368,0,0,1,1,0,1,0,Comedy
Du Barry Was a Lady,1943,101,1239222,6.1,123,0,0,1,0,0,0,0,Comedy
"Duck, Duck, Goose!",2005,21,20000,8.8,16,0,0,1,0,0,1,1,Comedy
"Dude, Where's My Car?",2000,83,13000000,4.6,13330,0,0,1,0,0,0,0,Comedy
Dudley Do-Right,1999,77,22000000,3.6,1790,0,0,1,0,0,0,0,Comedy
Due occhi diabolici,1990,120,9000000,5.3,529,0,0,1,0,0,0,0,Comedy
Duel at Apache Wells,1957,69,150000,5.6,12,0,0,0,0,0,0,0,0
Duel in the Sun,1946,144,8000000,7,866,0,0,0,1,0,0,0,Drama
"Duellists, The",1977,95,900000,7.4,1929,1,0,0,1,0,0,0,Action
Duets,2000,112,15000000,5.8,2414,0,0,1,1,0,0,0,Comedy
Dumb & Dumber,1994,101,16000000,6.6,27713,0,0,1,0,0,0,0,Comedy
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19000000,3.3,4689,0,0,1,0,0,0,0,Comedy
Dumbo,1941,64,950000,7.4,6828,0,1,0,1,0,0,0,Animation
Dune,1984,190,45000000,6.3,16903,1,0,0,0,0,0,0,Action
Dungeons & Dragons,2000,107,35000000,4,7435,1,0,0,0,0,0,0,Action
Duplex,2003,89,40000000,5.7,4334,0,0,1,0,0,0,0,Comedy
Dusting Cliff 7,1996,95,1300000,3.5,80,1,0,0,1,0,0,0,Action
"Dying Gaul, The",2005,101,4000000,4.3,70,0,0,0,1,0,1,0,Drama
DysFunktional Family,2003,89,3000000,5.6,207,0,0,1,0,1,0,0,Comedy
E-mail,2000,109,1000000,4.1,33,0,0,1,0,0,1,0,Comedy
E.T. the Extra-Terrestrial,1982,120,10500000,7.8,44175,0,0,0,1,0,0,0,Drama
"Eagle Has Landed, The",1976,131,6000000,6.7,2001,0,0,0,1,0,0,0,Drama
Earl's Your Uncle,2004,19,10000,9.1,28,0,0,1,0,0,0,1,Comedy
Earth Girls Are Easy,1988,100,10000000,5,3952,0,0,1,0,0,0,0,Comedy
Earthquake,1974,140,7000000,5.2,2106,1,0,0,1,0,0,0,Action
East of Hope Street,1998,88,100000,5.6,14,0,0,0,1,0,0,0,Drama
Easter Parade,1948,107,2503654,7.4,1093,0,0,0,0,0,1,0,Romance
Easy Rider,1969,94,340000,7.2,10230,1,0,0,1,0,0,0,Action
Eat My Dust!,1976,89,300000,4.5,95,0,0,1,0,0,0,0,Comedy
Eating,2005,13,60000,9.1,7,0,0,0,1,0,0,1,Drama
Eating Out,2004,90,50000,6.8,182,0,0,1,0,0,0,0,Comedy
Eating Raoul,1982,87,350000,6.4,1351,0,0,1,0,0,0,0,Comedy
Eban and Charley,2000,86,30000,4.5,110,0,0,0,1,0,0,0,Drama
Ed Mort,1997,102,1500000,6.8,70,0,0,1,0,0,0,0,Comedy
Ed Wood,1994,127,18000000,8,22612,0,0,1,1,0,0,0,Comedy
Ed and His Dead Mother,1993,86,1800000,5.3,413,0,0,1,0,0,0,0,Comedy
Eddie,1996,100,30000000,4.9,1348,0,0,1,0,0,0,0,Comedy
Edge of Eternity,1959,80,700000,5.8,44,1,0,0,1,0,0,0,Action
Edgeplay,2004,110,80000,7.2,17,0,0,0,0,1,0,0,Documentary
Edges of the Lord,2001,95,7500000,7,639,0,0,0,1,0,0,0,Drama
Edmund,2004,18,10000,8.7,7,0,0,0,1,0,0,1,Drama
Edtv,1999,122,60000000,6.2,10085,0,0,1,0,0,0,0,Comedy
Edward Scissorhands,1990,105,20000000,7.7,27017,0,0,0,1,0,1,0,Drama
Eegah,1962,90,15000,1.9,1314,0,0,0,0,0,0,0,0
"Egyptian, The",1954,139,5000000,5.7,376,0,0,0,1,0,0,0,Drama
Ehad Mishelanu,1989,110,500000,7.1,30,0,0,0,1,0,0,0,Drama
Eight Legged Freaks,2002,99,30000000,5.5,6362,1,0,1,0,0,0,0,Action
Eight Men Out,1988,119,6000000,7.3,3689,0,0,0,1,0,0,0,Drama
"Eighteenth Angel, The",1998,95,25000000,4.6,557,1,0,0,0,0,0,0,Action
El Cid,1961,182,6250000,7.1,1458,0,0,0,1,0,1,0,Drama
Election,1999,103,8500000,7.4,17521,0,0,1,0,0,0,0,Comedy
"Elegante, El",2003,17,2500,8.6,7,0,0,1,0,0,0,1,Comedy
Elektra,2005,96,43000000,4.9,5120,1,0,0,0,0,0,0,Action
Elephant,2003,81,3000000,7.3,9203,0,0,0,1,0,0,0,Drama
"Elephant Man, The",1980,124,5000000,8.2,16422,0,0,0,1,0,0,0,Drama
"Elephant's Egg, The",2004,15,30000,4.6,12,0,0,1,0,0,0,1,Comedy
Elevator Movie,2004,95,25000,6.1,13,0,0,0,1,0,0,0,Drama
Elf,2003,95,33000000,7,10165,0,0,1,0,0,0,0,Comedy
Elizabeth,1998,124,25000000,7.6,14733,0,0,0,1,0,0,0,Drama
Ella Enchanted,2004,96,35000000,6.5,2502,0,0,1,0,0,1,0,Comedy
Elliot Flies,2003,13,1000,4.9,12,0,0,0,1,0,0,1,Drama
Elmer Gantry,1960,146,3000000,7.8,1771,0,0,0,1,0,0,0,Drama
